epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1959.65,1.06167,0.49039,1.0611,0.98108,0.93485,0.96806,0.69892,1.07004,0.41401,1.05476,0.005743,0.005743,0.005743
45,2003.95,1.06413,0.48792,1.05606,0.97999,0.93719,0.96748,0.692,1.07962,0.42052,1.05038,0.005644,0.005644,0.005644
46,2048.35,1.05544,0.48137,1.04708,0.98421,0.93696,0.9701,0.70085,1.07182,0.41983,1.05262,0.005545,0.005545,0.005545
47,2092.53,1.05958,0.48265,1.05083,0.98139,0.93705,0.96762,0.69623,1.07045,0.42164,1.04798,0.005446,0.005446,0.005446
48,2136.72,1.05243,0.47752,1.05061,0.98653,0.93402,0.9695,0.69481,1.0726,0.42042,1.04426,0.005347,0.005347,0.005347
49,2181.49,1.04921,0.47349,1.04874,0.98555,0.93198,0.96797,0.69772,1.06814,0.42171,1.04798,0.005248,0.005248,0.005248
50,2225.78,1.04682,0.47921,1.0453,0.97631,0.93894,0.97055,0.69614,1.07065,0.41343,1.05001,0.005149,0.005149,0.005149
51,2270.02,1.0407,0.47433,1.04028,0.98972,0.93257,0.9713,0.69949,1.06174,0.40681,1.04021,0.00505,0.00505,0.00505
52,2314.22,1.04712,0.47415,1.04453,0.98986,0.93364,0.97219,0.69963,1.06566,0.41055,1.0457,0.004951,0.004951,0.004951
53,2358.37,1.04679,0.46813,1.04581,0.98846,0.93682,0.97336,0.70437,1.06653,0.41073,1.04859,0.004852,0.004852,0.004852
54,2402.61,1.04395,0.4691,1.03833,0.98797,0.93512,0.97291,0.70525,1.0662,0.40399,1.04529,0.004753,0.004753,0.004753
55,2446.97,1.03736,0.46142,1.0402,0.98428,0.94077,0.96938,0.70116,1.067,0.40473,1.04603,0.004654,0.004654,0.004654
56,2491.61,1.03304,0.45916,1.03709,0.98517,0.9383,0.97352,0.70525,1.05968,0.3982,1.03926,0.004555,0.004555,0.004555
57,2536.21,1.03378,0.46184,1.03687,0.97862,0.94305,0.97207,0.70452,1.06232,0.39834,1.04602,0.004456,0.004456,0.004456
58,2580.2,1.03216,0.46268,1.03795,0.98386,0.93759,0.96942,0.70405,1.0564,0.3973,1.0426,0.004357,0.004357,0.004357
59,2624.09,1.02873,0.46152,1.03652,0.98744,0.93576,0.97345,0.70341,1.055,0.39478,1.04167,0.004258,0.004258,0.004258
60,2667.84,1.0299,0.45464,1.03474,0.9778,0.94305,0.97238,0.70437,1.05836,0.39424,1.04089,0.004159,0.004159,0.004159
61,2712.1,1.02125,0.45234,1.03394,0.98701,0.93447,0.97277,0.7052,1.06191,0.39539,1.04159,0.00406,0.00406,0.00406
62,2756.07,1.02438,0.45755,1.029,0.98061,0.94449,0.97414,0.70589,1.06362,0.39659,1.03792,0.003961,0.003961,0.003961
63,2800.31,1.01992,0.44772,1.03318,0.98446,0.93895,0.97137,0.70548,1.0612,0.39632,1.04238,0.003862,0.003862,0.003862
64,2844.02,1.02136,0.44933,1.03265,0.97966,0.94357,0.97073,0.7063,1.05796,0.39269,1.0417,0.003763,0.003763,0.003763
65,2887.88,1.01121,0.44514,1.0294,0.98098,0.9426,0.97128,0.7079,1.06258,0.39557,1.04183,0.003664,0.003664,0.003664
66,2931.83,1.00899,0.44064,1.02196,0.98801,0.93865,0.97236,0.7106,1.05692,0.39335,1.03714,0.003565,0.003565,0.003565
67,2975.91,1.0064,0.44089,1.0295,0.97465,0.94578,0.97235,0.7117,1.05216,0.38954,1.03692,0.003466,0.003466,0.003466
68,3020.12,1.00601,0.43721,1.02588,0.9812,0.94214,0.97069,0.70951,1.05292,0.39037,1.03702,0.003367,0.003367,0.003367
69,3064.17,0.9977,0.42979,1.01873,0.98129,0.94487,0.97099,0.70723,1.05231,0.38461,1.03783,0.003268,0.003268,0.003268
70,3108.15,0.99976,0.43448,1.02147,0.98197,0.94265,0.97328,0.71209,1.05347,0.38396,1.03623,0.003169,0.003169,0.003169
71,3152.08,0.99144,0.43226,1.02344,0.98287,0.94078,0.97373,0.71023,1.05466,0.38534,1.04006,0.00307,0.00307,0.00307
72,3196.32,0.99956,0.43485,1.02174,0.98888,0.93576,0.972,0.70915,1.05651,0.38735,1.04082,0.002971,0.002971,0.002971
73,3240.59,0.9844,0.42598,1.01799,0.9762,0.94715,0.97085,0.70893,1.05187,0.38225,1.03649,0.002872,0.002872,0.002872
74,3284.68,0.9901,0.42528,1.02133,0.98077,0.94487,0.97178,0.71304,1.05192,0.37996,1.03648,0.002773,0.002773,0.002773
75,3328.7,0.98365,0.42635,1.01591,0.9811,0.9461,0.97133,0.71169,1.05423,0.37882,1.03946,0.002674,0.002674,0.002674
76,3372.56,0.97974,0.42344,1.01891,0.98074,0.94715,0.97116,0.70676,1.05699,0.38149,1.04089,0.002575,0.002575,0.002575
77,3416.48,0.98447,0.42188,1.02181,0.98066,0.94691,0.97422,0.70736,1.05868,0.37925,1.03976,0.002476,0.002476,0.002476
78,3461.21,0.98809,0.4173,1.01555,0.98845,0.93556,0.97237,0.709,1.05219,0.3786,1.03685,0.002377,0.002377,0.002377
79,3505.14,0.96895,0.41454,1.01048,0.9757,0.94943,0.97272,0.70878,1.05438,0.37851,1.03663,0.002278,0.002278,0.002278
80,3549.23,0.97238,0.41179,1.01268,0.98423,0.93821,0.97184,0.70787,1.05604,0.38034,1.03602,0.002179,0.002179,0.002179
81,3593.38,0.97046,0.4074,1.01158,0.98031,0.94761,0.97302,0.70935,1.05263,0.37501,1.0341,0.00208,0.00208,0.00208
82,3638.03,0.96787,0.41057,1.0065,0.98224,0.94624,0.97451,0.71188,1.0541,0.37569,1.03539,0.001981,0.001981,0.001981
83,3682.01,0.97297,0.41341,1.01045,0.98469,0.94169,0.97321,0.71273,1.05324,0.37725,1.03639,0.001882,0.001882,0.001882
84,3726.17,0.96633,0.40358,1.00685,0.98408,0.94442,0.97201,0.71075,1.05176,0.37678,1.03539,0.001783,0.001783,0.001783
85,3770.63,0.95924,0.4023,1.00728,0.98249,0.94588,0.97202,0.71236,1.05097,0.37464,1.03522,0.001684,0.001684,0.001684
86,3814.74,0.95282,0.39897,1.00043,0.98888,0.93986,0.97192,0.71133,1.05254,0.37452,1.03516,0.001585,0.001585,0.001585
87,3858.88,0.95891,0.39796,1.00702,0.9871,0.94091,0.97226,0.7083,1.05382,0.37664,1.03434,0.001486,0.001486,0.001486
88,3902.95,0.94324,0.39314,0.99938,0.98367,0.94487,0.97235,0.70945,1.05335,0.37705,1.0352,0.001387,0.001387,0.001387
89,3947.24,0.95589,0.39885,1.00175,0.98426,0.94487,0.97237,0.70972,1.05215,0.37649,1.03529,0.001288,0.001288,0.001288
90,3991.57,0.94407,0.3899,0.99945,0.98318,0.94351,0.97221,0.71034,1.05027,0.37503,1.03418,0.001189,0.001189,0.001189
91,4054.44,0.9419,0.35768,1.00551,0.98283,0.94487,0.97202,0.71079,1.04694,0.37464,1.03433,0.00109,0.00109,0.00109
92,4097.7,0.92765,0.35141,1.00378,0.98433,0.94438,0.97186,0.71136,1.04834,0.3744,1.03539,0.000991,0.000991,0.000991
93,4140.99,0.92256,0.35132,0.999,0.98346,0.94396,0.9714,0.71165,1.05028,0.37665,1.03674,0.000892,0.000892,0.000892
94,4184.02,0.92126,0.34963,0.99453,0.98117,0.94487,0.97149,0.71187,1.05053,0.37635,1.03586,0.000793,0.000793,0.000793
95,4227.1,0.91109,0.34432,0.99343,0.98319,0.94351,0.97172,0.71195,1.05036,0.37708,1.03653,0.000694,0.000694,0.000694
96,4270.54,0.908,0.34069,0.99009,0.98335,0.94201,0.97191,0.71314,1.04965,0.37712,1.03631,0.000595,0.000595,0.000595
97,4313.74,0.90632,0.34009,0.9938,0.98197,0.94287,0.97179,0.71224,1.05176,0.37666,1.03644,0.000496,0.000496,0.000496
98,4356.73,0.90239,0.3348,0.99208,0.98034,0.9426,0.97079,0.71091,1.05324,0.37758,1.03666,0.000397,0.000397,0.000397
99,4399.97,0.89479,0.33233,0.98584,0.97966,0.94347,0.97098,0.71117,1.05439,0.37766,1.03705,0.000298,0.000298,0.000298
100,4443.39,0.8956,0.3318,0.98538,0.98101,0.94124,0.97146,0.71036,1.05476,0.37798,1.03712,0.000199,0.000199,0.000199
