epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2374.8,1.47858,1.21698,1.07116,0.64716,0.56883,0.61105,0.36327,1.3692,1.15695,1.04551,0.005743,0.005743,0.005743
45,2424.74,1.47626,1.20285,1.07285,0.6486,0.57248,0.61229,0.36226,1.37333,1.16341,1.04589,0.005644,0.005644,0.005644
46,2472.7,1.4684,1.19897,1.06945,0.64034,0.5844,0.61311,0.36413,1.36632,1.15548,1.04614,0.005545,0.005545,0.005545
47,2520.2,1.47282,1.19702,1.06817,0.639,0.57771,0.61214,0.36438,1.36583,1.16593,1.03817,0.005446,0.005446,0.005446
48,2566.85,1.47072,1.19749,1.06732,0.64354,0.56886,0.60931,0.36643,1.36026,1.15613,1.03454,0.005347,0.005347,0.005347
49,2615.06,1.45815,1.17127,1.06798,0.64677,0.57449,0.61309,0.36555,1.35689,1.15906,1.03562,0.005248,0.005248,0.005248
50,2663.65,1.46262,1.18243,1.06583,0.65875,0.56547,0.61219,0.36602,1.35788,1.15044,1.03522,0.005149,0.005149,0.005149
51,2713.03,1.45503,1.18931,1.06423,0.65954,0.56604,0.61501,0.36665,1.35253,1.15294,1.03569,0.00505,0.00505,0.00505
52,2768.73,1.4546,1.16768,1.06464,0.64901,0.58083,0.62033,0.36938,1.35656,1.14981,1.03623,0.004951,0.004951,0.004951
53,2821.8,1.44042,1.16447,1.05658,0.65622,0.5762,0.62301,0.37396,1.35019,1.12873,1.03458,0.004852,0.004852,0.004852
54,2875.15,1.43257,1.14388,1.05849,0.65192,0.57952,0.62329,0.37605,1.34491,1.12582,1.03222,0.004753,0.004753,0.004753
55,2927.21,1.43471,1.15196,1.05675,0.64649,0.58686,0.62449,0.37731,1.33872,1.12899,1.02939,0.004654,0.004654,0.004654
56,2979.48,1.4356,1.16605,1.05731,0.65665,0.57831,0.61957,0.37429,1.33479,1.13101,1.02913,0.004555,0.004555,0.004555
57,3031.31,1.432,1.14749,1.05606,0.65373,0.58354,0.6245,0.37538,1.34506,1.11883,1.0317,0.004456,0.004456,0.004456
58,3083.56,1.43255,1.14381,1.05175,0.65038,0.58153,0.62195,0.37432,1.33941,1.12381,1.02668,0.004357,0.004357,0.004357
59,3135.73,1.43378,1.14162,1.05336,0.66891,0.58327,0.62718,0.37887,1.33897,1.11415,1.0254,0.004258,0.004258,0.004258
60,3187.5,1.4245,1.1287,1.04965,0.66367,0.58099,0.62735,0.37801,1.34034,1.11468,1.0283,0.004159,0.004159,0.004159
61,3240.43,1.42794,1.13508,1.05252,0.65848,0.58656,0.62814,0.37925,1.33211,1.10514,1.024,0.00406,0.00406,0.00406
62,3292.92,1.4181,1.11695,1.04692,0.66498,0.58183,0.62963,0.38144,1.3316,1.10937,1.02465,0.003961,0.003961,0.003961
63,3345.33,1.41601,1.12271,1.04557,0.65636,0.58737,0.62643,0.3797,1.33229,1.1121,1.02447,0.003862,0.003862,0.003862
64,3397.97,1.41261,1.11158,1.04598,0.64979,0.59773,0.6327,0.38316,1.32545,1.10866,1.02071,0.003763,0.003763,0.003763
65,3450.35,1.40756,1.12353,1.04316,0.6538,0.58586,0.62565,0.37934,1.32355,1.10885,1.02309,0.003664,0.003664,0.003664
66,3502.75,1.40333,1.11283,1.04417,0.65367,0.58908,0.6285,0.37976,1.3279,1.10269,1.02032,0.003565,0.003565,0.003565
67,3556.92,1.40256,1.11343,1.03889,0.66298,0.58113,0.6303,0.38138,1.32401,1.10541,1.01986,0.003466,0.003466,0.003466
68,3611.48,1.40731,1.11184,1.04152,0.65587,0.59682,0.6341,0.38371,1.32241,1.10342,1.02086,0.003367,0.003367,0.003367
69,3666.46,1.3868,1.0989,1.04052,0.65312,0.59179,0.62978,0.38256,1.32281,1.10644,1.01925,0.003268,0.003268,0.003268
70,3722.63,1.38856,1.08943,1.03213,0.65987,0.58113,0.62925,0.38251,1.32064,1.10641,1.01933,0.003169,0.003169,0.003169
71,3777.61,1.38762,1.08428,1.03468,0.65371,0.58787,0.62694,0.38024,1.32612,1.10848,1.02057,0.00307,0.00307,0.00307
72,3832.09,1.39116,1.09608,1.03389,0.66616,0.58073,0.6283,0.38212,1.31994,1.09924,1.01871,0.002971,0.002971,0.002971
73,3884.34,1.37518,1.07662,1.03366,0.6595,0.59034,0.63045,0.38353,1.31858,1.10378,1.01968,0.002872,0.002872,0.002872
74,3936.83,1.38655,1.08763,1.03633,0.66466,0.58757,0.63455,0.38595,1.31583,1.08923,1.01964,0.002773,0.002773,0.002773
75,3989.71,1.38189,1.08065,1.02903,0.65637,0.58834,0.63245,0.38411,1.31659,1.09146,1.01865,0.002674,0.002674,0.002674
76,4042.36,1.38394,1.07415,1.03225,0.66497,0.58334,0.62828,0.38361,1.31394,1.09183,1.01751,0.002575,0.002575,0.002575
77,4094.83,1.36536,1.06916,1.02844,0.65344,0.59592,0.63341,0.3858,1.31111,1.08738,1.01527,0.002476,0.002476,0.002476
78,4147.62,1.37034,1.07296,1.02801,0.66273,0.594,0.63384,0.38708,1.30915,1.08279,1.01592,0.002377,0.002377,0.002377
79,4200.37,1.36674,1.06822,1.02831,0.67169,0.58807,0.63576,0.38797,1.31096,1.08493,1.01653,0.002278,0.002278,0.002278
80,4253.26,1.37395,1.0483,1.02882,0.65559,0.60202,0.63818,0.38857,1.31072,1.0814,1.01646,0.002179,0.002179,0.002179
81,4305.95,1.37044,1.05642,1.02637,0.66349,0.59582,0.63682,0.38853,1.30931,1.08126,1.0146,0.00208,0.00208,0.00208
82,4358.46,1.3653,1.06249,1.02745,0.66665,0.58938,0.63634,0.38753,1.30923,1.08784,1.01481,0.001981,0.001981,0.001981
83,4411.17,1.36874,1.05293,1.02253,0.65601,0.59451,0.63314,0.38605,1.30688,1.09115,1.01334,0.001882,0.001882,0.001882
84,4463.66,1.35638,1.04697,1.02219,0.64943,0.60135,0.63286,0.38632,1.31018,1.08755,1.01428,0.001783,0.001783,0.001783
85,4516.21,1.34815,1.04263,1.01715,0.65695,0.59652,0.63478,0.3884,1.3079,1.08581,1.0133,0.001684,0.001684,0.001684
86,4568.8,1.34528,1.03432,1.01972,0.65659,0.60008,0.63588,0.38925,1.30912,1.08659,1.01302,0.001585,0.001585,0.001585
87,4621.58,1.35899,1.04041,1.01998,0.66106,0.60054,0.63722,0.39003,1.3085,1.08499,1.01329,0.001486,0.001486,0.001486
88,4674.02,1.34391,1.03363,1.01921,0.6605,0.60024,0.63798,0.3904,1.30841,1.08124,1.01413,0.001387,0.001387,0.001387
89,4726.6,1.34259,1.02802,1.01414,0.66158,0.59783,0.63851,0.39052,1.30864,1.07873,1.01353,0.001288,0.001288,0.001288
90,4778.77,1.331,1.0207,1.01415,0.65909,0.59712,0.63722,0.38955,1.30865,1.08153,1.01396,0.001189,0.001189,0.001189
91,4851.55,1.30249,1.00414,1.00774,0.65654,0.60084,0.63637,0.38972,1.30896,1.08023,1.01404,0.00109,0.00109,0.00109
92,4904.34,1.29658,0.99383,1.00636,0.65451,0.59883,0.63556,0.38921,1.31174,1.08127,1.01573,0.000991,0.000991,0.000991
93,4954.13,1.28395,0.98554,1.00579,0.65942,0.59481,0.63618,0.39023,1.31078,1.08166,1.01567,0.000892,0.000892,0.000892
94,5001.91,1.28508,0.98307,1.00389,0.65788,0.59411,0.63781,0.3907,1.3117,1.07906,1.01609,0.000793,0.000793,0.000793
95,5048.05,1.27876,0.97329,1.00405,0.65701,0.59562,0.63703,0.39002,1.312,1.08003,1.01624,0.000694,0.000694,0.000694
96,5096.79,1.2756,0.96593,0.9999,0.65905,0.59285,0.63578,0.38971,1.31193,1.07992,1.01613,0.000595,0.000595,0.000595
97,5143.99,1.27169,0.96351,0.99786,0.65876,0.5924,0.63613,0.3903,1.31107,1.08025,1.01495,0.000496,0.000496,0.000496
98,5191.89,1.27082,0.96275,0.99717,0.65784,0.59451,0.63711,0.39068,1.30985,1.07937,1.01439,0.000397,0.000397,0.000397
99,5238.66,1.26726,0.95403,0.99865,0.65496,0.59994,0.63726,0.39059,1.30956,1.07841,1.01359,0.000298,0.000298,0.000298
100,5286.12,1.27165,0.95825,0.99964,0.65497,0.59974,0.63713,0.39087,1.30971,1.07864,1.0133,0.000199,0.000199,0.000199
