epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5858.9,1.30372,1.056,1.34027,0.72718,0.68551,0.73315,0.373,1.35638,1.0074,1.43415,0.005842,0.005842,0.005842
44,5994.19,1.29077,1.05846,1.33034,0.73636,0.66097,0.72109,0.37502,1.34823,0.97291,1.41329,0.005743,0.005743,0.005743
45,6129.4,1.28671,1.04533,1.34159,0.73712,0.6707,0.73078,0.38825,1.3202,0.9889,1.40005,0.005644,0.005644,0.005644
46,6265.6,1.24972,1.01855,1.32285,0.76449,0.65707,0.7444,0.3873,1.36711,0.94215,1.43809,0.005545,0.005545,0.005545
47,6401.51,1.24638,0.99558,1.31871,0.73933,0.66364,0.71639,0.36149,1.35859,0.98763,1.42343,0.005446,0.005446,0.005446
48,6537.5,1.27393,1.01184,1.32074,0.73424,0.66334,0.71854,0.35656,1.39516,0.96744,1.45772,0.005347,0.005347,0.005347
49,6672.56,1.26814,1.00219,1.32309,0.73879,0.67627,0.73933,0.38658,1.34707,0.96394,1.41574,0.005248,0.005248,0.005248
50,6807.76,1.24558,0.97054,1.30749,0.71564,0.67783,0.71817,0.36785,1.34839,0.96468,1.41788,0.005149,0.005149,0.005149
51,6943.68,1.24904,0.98606,1.30786,0.7391,0.67814,0.72448,0.37178,1.35964,0.97956,1.43797,0.00505,0.00505,0.00505
52,7079.11,1.24928,0.98636,1.29958,0.74179,0.6732,0.7339,0.38183,1.33289,0.9643,1.38403,0.004951,0.004951,0.004951
53,7213.66,1.23274,0.98745,1.30865,0.73975,0.68831,0.7407,0.39649,1.31629,0.9463,1.38384,0.004852,0.004852,0.004852
54,7350.38,1.2267,0.95509,1.29149,0.73033,0.67902,0.73621,0.38091,1.32354,0.94924,1.38925,0.004753,0.004753,0.004753
55,7484.69,1.21798,0.94817,1.29746,0.75335,0.6829,0.73697,0.38272,1.32186,0.92228,1.38627,0.004654,0.004654,0.004654
56,7621.17,1.23825,0.97954,1.30044,0.72876,0.68866,0.73474,0.38353,1.34481,0.9621,1.39253,0.004555,0.004555,0.004555
57,7756.7,1.22843,0.9437,1.29005,0.75272,0.67185,0.74445,0.39177,1.32761,0.92965,1.39299,0.004456,0.004456,0.004456
58,7892.94,1.21834,0.92947,1.2773,0.71882,0.69226,0.7421,0.38687,1.3371,0.92867,1.39866,0.004357,0.004357,0.004357
59,8027.84,1.19414,0.91826,1.27458,0.74158,0.70229,0.75312,0.40349,1.29771,0.92472,1.37869,0.004258,0.004258,0.004258
60,8163.46,1.22367,0.93132,1.28189,0.77811,0.67706,0.74525,0.38879,1.31943,0.91255,1.39514,0.004159,0.004159,0.004159
61,8300.24,1.19714,0.92108,1.28614,0.7615,0.68686,0.75399,0.39867,1.3123,0.92092,1.39632,0.00406,0.00406,0.00406
62,8436.01,1.19147,0.93472,1.27901,0.75501,0.67058,0.74723,0.39283,1.30975,0.93053,1.38022,0.003961,0.003961,0.003961
63,8571.06,1.20138,0.92237,1.27163,0.75952,0.69016,0.74874,0.38866,1.304,0.90502,1.37473,0.003862,0.003862,0.003862
64,8705.9,1.19513,0.89341,1.26902,0.77298,0.70117,0.75215,0.39943,1.29096,0.8869,1.36712,0.003763,0.003763,0.003763
65,8839.38,1.17653,0.89026,1.25487,0.74904,0.6998,0.75178,0.39243,1.29915,0.91752,1.36872,0.003664,0.003664,0.003664
66,8975.39,1.18037,0.89026,1.26095,0.77114,0.68217,0.75539,0.3975,1.32456,0.8938,1.37416,0.003565,0.003565,0.003565
67,9111.16,1.17252,0.87214,1.25515,0.75137,0.6939,0.75777,0.4023,1.30427,0.90398,1.37261,0.003466,0.003466,0.003466
68,9248.81,1.15004,0.86739,1.26179,0.7629,0.6932,0.75582,0.39721,1.31557,0.87989,1.37173,0.003367,0.003367,0.003367
69,9384.14,1.14761,0.84673,1.24334,0.74268,0.69988,0.74894,0.39691,1.31417,0.88692,1.40408,0.003268,0.003268,0.003268
